"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"238"	"ENSG00000165029"	"ENST00000374736"	9.2757472420631e-06	0.000343916166974955	4	"ENST00000374736"
"239"	"ENSG00000165102"	"ENST00000379644"	0.722959432252725	0.936737758994122	10	"ENST00000379644"
"240"	"ENSG00000165678"	"ENST00000372134"	0.662247494154852	0.911811748632956	2	"ENST00000372134"
"241"	"ENSG00000165732"	"ENST00000354185"	0.13496991273527	0.533988791997914	2	"ENST00000354185"
"242"	"ENSG00000165997"	"ENST00000377275"	0.485126813869308	0.830805388123005	1	"ENST00000377275"
"243"	"ENSG00000166033"	"ENST00000368984"	0.388341078917719	0.788937881422776	2	"ENST00000368984"
"244"	"ENSG00000166173"	"ENST00000299213"	0.532947214402029	0.859790338313112	5	"ENST00000299213"
"245"	"ENSG00000166181"	"ENST00000378852"	0.411358392628217	0.78972013451792	11	"ENST00000378852"
"246"	"ENSG00000166272"	"ENST00000448841"	0.690256373250581	0.922780897430974	2	"ENST00000448841"
"247"	"ENSG00000167397"	"ENST00000394975"	0.413956322481154	0.78972013451792	8	"ENST00000394975"
"248"	"ENSG00000167548"	"ENST00000301067"	0.972921451771138	0.99550607877328	7	"ENST00000301067"
"249"	"ENSG00000167635"	"ENST00000443387"	0.620389095824904	0.892068160092404	5	"ENST00000443387"
"250"	"ENSG00000167658"	"ENST00000309311"	0.933520895496801	0.995480246967827	7	"ENST00000309311"
"251"	"ENSG00000167671"	"ENST00000394765"	0.914130155587413	0.993117095472403	10	"ENST00000394765"
"252"	"ENSG00000167674"	"ENST00000621835"	0.596948787915735	0.887248748265239	10	"ENST00000621835"
"253"	"ENSG00000167978"	"ENST00000301740"	0.957804510559765	0.99550607877328	31	"ENST00000301740"
"254"	"ENSG00000168286"	"ENST00000303596"	0.654574193928776	0.911811748632956	1	"ENST00000303596"
"255"	"ENSG00000168528"	"ENST00000373709"	0.821209294021284	0.982190768531659	6	"ENST00000373709"
